kind,target,best_score_over_all_probes
genuine,Testing__Digital_Persona__Live__002_4_2.png__21cdd3d7__002_4_2.png,315.2288333569
genuine,Testing__Digital_Persona__Live__002_4_3.png__1769f89d__002_4_3.png,303.5703852061
genuine,Testing__Digital_Persona__Live__002_4_4.png__af39cf19__002_4_4.png,268.5950407536
genuine,Testing__Digital_Persona__Live__002_4_5.png__31b4f516__002_4_5.png,303.5703852061
genuine,Testing__Digital_Persona__Live__002_4_6.png__2eacde13__002_4_6.png,59.3558700546
genuine,Testing__Digital_Persona__Live__002_4_7.png__9454ee5d__002_4_7.png,67.069552589
genuine,Testing__Digital_Persona__Live__002_4_8.png__d3bc4802__002_4_8.png,91.3605439333
genuine,Testing__Digital_Persona__Live__002_4_9.png__5665833c__002_4_9.png,146.7832433038
genuine,Testing__Digital_Persona__Live__002_5_0.png__ab1630e0__002_5_0.png,338.5457296586
genuine,Testing__Digital_Persona__Live__002_5_1.png__4b209c9d__002_5_1.png,326.8872815078
genuine,Testing__Digital_Persona__Live__002_5_2.png__a24cab76__002_5_2.png,256.9365926028
genuine,Testing__Digital_Persona__Live__002_5_3.png__f91eb091__002_5_3.png,315.2288333569
genuine,Testing__Digital_Persona__Live__002_5_4.png__030ebaeb__002_5_4.png,221.9612481503
genuine,Testing__Digital_Persona__Live__002_5_5.png__22cc52e9__002_5_5.png,338.5457296586
genuine,Testing__Digital_Persona__Live__002_5_6.png__d5153909__002_5_6.png,99.7191297944
genuine,Testing__Digital_Persona__Live__002_5_7.png__d82cb1fb__002_5_7.png,117.1306364386
genuine,Testing__Digital_Persona__Live__002_5_8.png__ee04d50b__002_5_8.png,88.4783987662
genuine,Testing__Digital_Persona__Live__002_5_9.png__93014798__002_5_9.png,153.4937577585
genuine,Testing__Digital_Persona__Live__002_6_0.png__331d04e5__002_6_0.png,326.8872815078
genuine,Testing__Digital_Persona__Live__002_6_1.png__0e018d84__002_6_1.png,350.2041778094
genuine,Testing__Digital_Persona__Live__002_6_2.png__dc568c21__002_6_2.png,338.5457296586
genuine,Testing__Digital_Persona__Live__002_6_3.png__762658b1__002_6_3.png,338.5457296586
genuine,Testing__Digital_Persona__Live__002_6_4.png__88ef4d5b__002_6_4.png,303.5703852061
genuine,Testing__Digital_Persona__Live__002_6_5.png__05619d8f__002_6_5.png,373.5210741111
genuine,Testing__Digital_Persona__Live__002_6_6.png__ca0903f1__002_6_6.png,166.8651712575
genuine,Testing__Digital_Persona__Live__002_6_7.png__95d470ec__002_6_7.png,149.7606461836
genuine,Testing__Digital_Persona__Live__002_6_8.png__5e4d4a4a__002_6_8.png,196.6825502489
genuine,Testing__Digital_Persona__Live__002_6_9.png__4d2aa895__002_6_9.png,200.7653269058
genuine,Testing__Digital_Persona__Live__002_7_0.png__21f58e06__002_7_0.png,326.8872815078
genuine,Testing__Digital_Persona__Live__002_7_1.png__b323ac22__002_7_1.png,338.5457296586
genuine,Testing__Digital_Persona__Live__002_7_2.png__46bd7cfa__002_7_2.png,361.8626259603
genuine,Testing__Digital_Persona__Live__002_7_3.png__4405a852__002_7_3.png,408.4964182018
genuine,Testing__Digital_Persona__Live__002_7_4.png__f28b4f2a__002_7_4.png,326.8872815078
genuine,Testing__Digital_Persona__Live__002_7_5.png__fc12c221__002_7_5.png,443.4717626543
genuine,Testing__Digital_Persona__Live__002_7_6.png__010f6a8b__002_7_6.png,143.199672996
genuine,Testing__Digital_Persona__Live__002_7_7.png__be94536e__002_7_7.png,145.1596372514
genuine,Testing__Digital_Persona__Live__002_7_8.png__bcdbdeaf__002_7_8.png,152.284746644
genuine,Testing__Digital_Persona__Live__002_7_9.png__b9e774b6__002_7_9.png,151.5155331286
genuine,Testing__Digital_Persona__Live__002_8_0.png__e653bcbc__002_8_0.png,443.4717626543
genuine,Testing__Digital_Persona__Live__002_8_1.png__0b703253__002_8_1.png,408.4964182018
genuine,Testing__Digital_Persona__Live__002_8_2.png__001776a0__002_8_2.png,455.1302108052
genuine,Testing__Digital_Persona__Live__002_8_3.png__18693766__002_8_3.png,420.1548663527
genuine,Testing__Digital_Persona__Live__002_8_4.png__c3ee241a__002_8_4.png,443.4717626543
genuine,Testing__Digital_Persona__Live__002_8_5.png__b54ff55d__002_8_5.png,385.1795219002
genuine,Testing__Digital_Persona__Live__002_8_6.png__0a732181__002_8_6.png,155.4035672389
genuine,Testing__Digital_Persona__Live__002_8_7.png__a2321fb6__002_8_7.png,77.6964176067
genuine,Testing__Digital_Persona__Live__002_8_8.png__59fb6d2c__002_8_8.png,199.7165037512
genuine,Testing__Digital_Persona__Live__002_8_9.png__b0558db4__002_8_9.png,177.8007646514
genuine,Testing__Digital_Persona__Live__002_9_0.png__c3b45bc7__002_9_0.png,326.8872815078
genuine,Testing__Digital_Persona__Live__002_9_1.png__3879ae1e__002_9_1.png,338.5457296586
genuine,Testing__Digital_Persona__Live__002_9_2.png__1072f7e1__002_9_2.png,303.5703852061
genuine,Testing__Digital_Persona__Live__002_9_3.png__d1aa00b7__002_9_3.png,280.2534889044
genuine,Testing__Digital_Persona__Live__002_9_4.png__9295c44c__002_9_4.png,245.2781444519
genuine,Testing__Digital_Persona__Live__002_9_5.png__beeffe44__002_9_5.png,256.9365926028
genuine,Testing__Digital_Persona__Live__002_9_6.png__067e3a69__002_9_6.png,159.6990559093
genuine,Testing__Digital_Persona__Live__002_9_7.png__e2021d8b__002_9_7.png,100.6247511377
genuine,Testing__Digital_Persona__Live__002_9_8.png__eeee334b__002_9_8.png,163.0689055551
genuine,Testing__Digital_Persona__Live__002_9_9.png__57bc617e__002_9_9.png,151.6985511206
genuine,Testing__Digital_Persona__Live__003_0_0.png__7473186c__003_0_0.png,431.8133145035
genuine,Testing__Digital_Persona__Live__003_0_1.png__c30ada96__003_0_1.png,385.1795219002
genuine,Testing__Digital_Persona__Live__003_0_2.png__be5b4b0b__003_0_2.png,408.4964182018
genuine,Testing__Digital_Persona__Live__003_0_3.png__f6e3e3af__003_0_3.png,408.4964182018
genuine,Testing__Digital_Persona__Live__003_0_4.png__fca16bdc__003_0_4.png,490.1055552577
genuine,Testing__Digital_Persona__Live__003_0_5.png__dca7a112__003_0_5.png,361.8626259603
genuine,Testing__Digital_Persona__Live__003_0_6.png__46bed8dd__003_0_6.png,33.6979180277
genuine,Testing__Digital_Persona__Live__003_0_7.png__37f8f69b__003_0_7.png,163.2745455919
genuine,Testing__Digital_Persona__Live__003_0_8.png__e8d34b32__003_0_8.png,89.4858098294
genuine,Testing__Digital_Persona__Live__003_0_9.png__9b7cd85e__003_0_9.png,124.2296161255
genuine,Testing__Digital_Persona__Live__003_1_0.png__8b6906ff__003_1_0.png,291.9119366935
genuine,Testing__Digital_Persona__Live__003_1_1.png__7e387a3c__003_1_1.png,280.2534889044
genuine,Testing__Digital_Persona__Live__003_1_2.png__38b78b13__003_1_2.png,233.6196963011
genuine,Testing__Digital_Persona__Live__003_1_3.png__ada8346a__003_1_3.png,233.6196963011
genuine,Testing__Digital_Persona__Live__003_1_4.png__b5f42a19__003_1_4.png,245.2781444519
genuine,Testing__Digital_Persona__Live__003_1_5.png__9391d342__003_1_5.png,315.2288333569
genuine,Testing__Digital_Persona__Live__003_1_6.png__889dfc2e__003_1_6.png,32.1301854149
genuine,Testing__Digital_Persona__Live__003_1_7.png__fb30f488__003_1_7.png,60.8301621638
genuine,Testing__Digital_Persona__Live__003_1_8.png__1c166665__003_1_8.png,46.6236729943
genuine,Testing__Digital_Persona__Live__003_1_9.png__f80457de__003_1_9.png,76.9639623289
genuine,Testing__Digital_Persona__Live__003_2_0.png__8e8b82bd__003_2_0.png,245.2781444519
genuine,Testing__Digital_Persona__Live__003_2_1.png__5078545b__003_2_1.png,338.5457296586
genuine,Testing__Digital_Persona__Live__003_2_2.png__95561f74__003_2_2.png,280.2534889044
genuine,Testing__Digital_Persona__Live__003_2_3.png__6fb5ff18__003_2_3.png,350.2041778094
genuine,Testing__Digital_Persona__Live__003_2_4.png__d861f40a__003_2_4.png,291.9119366935
genuine,Testing__Digital_Persona__Live__003_2_5.png__b7717b2a__003_2_5.png,268.5950407536
genuine,Testing__Digital_Persona__Live__003_2_6.png__15aa2793__003_2_6.png,69.0711266046
genuine,Testing__Digital_Persona__Live__003_2_7.png__0d4a067d__003_2_7.png,42.3677854913
genuine,Testing__Digital_Persona__Live__003_2_8.png__9fb3bb78__003_2_8.png,41.8404981281
genuine,Testing__Digital_Persona__Live__003_2_9.png__3b8c50a7__003_2_9.png,57.7081777026
genuine,Testing__Digital_Persona__Live__003_3_0.png__888fa0d8__003_3_0.png,536.7393482228
genuine,Testing__Digital_Persona__Live__003_3_1.png__a9baf881__003_3_1.png,478.4471071068
genuine,Testing__Digital_Persona__Live__003_3_2.png__caf672b2__003_3_2.png,490.1055552577
genuine,Testing__Digital_Persona__Live__003_3_3.png__53869af4__003_3_3.png,525.0809000719
genuine,Testing__Digital_Persona__Live__003_3_4.png__4c1fbefc__003_3_4.png,385.1795219002
genuine,Testing__Digital_Persona__Live__003_3_5.png__7af7342e__003_3_5.png,501.7640037703
genuine,Testing__Digital_Persona__Live__003_3_6.png__fb86ff15__003_3_6.png,24.9298047956
genuine,Testing__Digital_Persona__Live__003_3_7.png__99a2efe5__003_3_7.png,85.4871469166
genuine,Testing__Digital_Persona__Live__003_3_8.png__6978133a__003_3_8.png,82.5211080408
genuine,Testing__Digital_Persona__Live__003_3_9.png__b4cda34d__003_3_9.png,77.1690936488
genuine,Testing__Digital_Persona__Live__003_4_0.png__d5b4a61d__003_4_0.png,361.8626259603
genuine,Testing__Digital_Persona__Live__003_4_1.png__2d7490b0__003_4_1.png,280.2534889044
genuine,Testing__Digital_Persona__Live__003_4_2.png__6a114e3e__003_4_2.png,315.2288333569
genuine,Testing__Digital_Persona__Live__003_4_3.png__890078c6__003_4_3.png,245.2781444519
genuine,Testing__Digital_Persona__Live__003_4_4.png__d40ebecf__003_4_4.png,198.6443518486
genuine,Testing__Digital_Persona__Live__003_4_5.png__a1bc767c__003_4_5.png,245.2781444519
genuine,Testing__Digital_Persona__Live__003_4_6.png__8858b1e6__003_4_6.png,4.7427273096
genuine,Testing__Digital_Persona__Live__003_4_7.png__586a1b67__003_4_7.png,77.0173904833
genuine,Testing__Digital_Persona__Live__003_4_8.png__61b1c9b5__003_4_8.png,34.3365610324
genuine,Testing__Digital_Persona__Live__003_4_9.png__2accfc40__003_4_9.png,47.7870554179
genuine,Testing__Digital_Persona__Live__003_5_0.png__dcd887a1__003_5_0.png,385.1795219002
genuine,Testing__Digital_Persona__Live__003_5_1.png__44a98da4__003_5_1.png,256.9365926028
genuine,Testing__Digital_Persona__Live__003_5_2.png__2cc12451__003_5_2.png,303.5703852061
genuine,Testing__Digital_Persona__Live__003_5_3.png__00c1119b__003_5_3.png,315.2288333569
genuine,Testing__Digital_Persona__Live__003_5_4.png__8b7d253f__003_5_4.png,291.9119366935
genuine,Testing__Digital_Persona__Live__003_5_5.png__edca5eca__003_5_5.png,315.2288333569
genuine,Testing__Digital_Persona__Live__003_5_6.png__8620c485__003_5_6.png,15.0290313496
genuine,Testing__Digital_Persona__Live__003_5_7.png__83fff7e7__003_5_7.png,208.2424053987
genuine,Testing__Digital_Persona__Live__003_5_8.png__44e77f0e__003_5_8.png,79.5980495898
genuine,Testing__Digital_Persona__Live__003_5_9.png__5b501061__003_5_9.png,57.8978863909
genuine,Testing__Digital_Persona__Live__003_6_0.png__12f78fd9__003_6_0.png,315.2288333569
genuine,Testing__Digital_Persona__Live__003_6_1.png__582679be__003_6_1.png,268.5950407536
genuine,Testing__Digital_Persona__Live__003_6_2.png__ac7a18be__003_6_2.png,291.9119366935
genuine,Testing__Digital_Persona__Live__003_6_3.png__039c2e05__003_6_3.png,268.5950407536
genuine,Testing__Digital_Persona__Live__003_6_4.png__43eae618__003_6_4.png,280.2534889044
genuine,Testing__Digital_Persona__Live__003_6_5.png__7a87496c__003_6_5.png,291.9119366935
genuine,Testing__Digital_Persona__Live__003_6_6.png__04a65c56__003_6_6.png,34.6232105328
genuine,Testing__Digital_Persona__Live__003_6_7.png__adfc8461__003_6_7.png,94.1444351173
genuine,Testing__Digital_Persona__Live__003_6_8.png__c3e6f258__003_6_8.png,84.3834257882
genuine,Testing__Digital_Persona__Live__003_6_9.png__cf5f19e7__003_6_9.png,93.6519732866
genuine,Testing__Digital_Persona__Live__003_7_0.png__29d3f038__003_7_0.png,198.6443518486
genuine,Testing__Digital_Persona__Live__003_7_1.png__e47dc3b5__003_7_1.png,280.2534889044
genuine,Testing__Digital_Persona__Live__003_7_2.png__58f45841__003_7_2.png,268.5950407536
genuine,Testing__Digital_Persona__Live__003_7_3.png__122bc449__003_7_3.png,338.5457296586
genuine,Testing__Digital_Persona__Live__003_7_4.png__0af68010__003_7_4.png,245.2781444519
genuine,Testing__Digital_Persona__Live__003_7_5.png__a4e3a376__003_7_5.png,268.5950407536
genuine,Testing__Digital_Persona__Live__003_7_6.png__49c1e48f__003_7_6.png,37.9849703592
genuine,Testing__Digital_Persona__Live__003_7_7.png__264dfb26__003_7_7.png,125.8080530752
genuine,Testing__Digital_Persona__Live__003_7_8.png__1d28e2ee__003_7_8.png,50.0596044595
genuine,Testing__Digital_Persona__Live__003_7_9.png__813c09b8__003_7_9.png,82.8720554433
genuine,Testing__Digital_Persona__Live__003_8_0.png__4ff1a66c__003_8_0.png,338.5457296586
genuine,Testing__Digital_Persona__Live__003_8_1.png__9874480c__003_8_1.png,245.2781444519
genuine,Testing__Digital_Persona__Live__003_8_2.png__83fd2ac5__003_8_2.png,361.8626259603
genuine,Testing__Digital_Persona__Live__003_8_3.png__3e58e020__003_8_3.png,268.5950407536
genuine,Testing__Digital_Persona__Live__003_8_4.png__382763c7__003_8_4.png,350.2041778094
genuine,Testing__Digital_Persona__Live__003_8_5.png__ecaff6b1__003_8_5.png,303.5703852061
genuine,Testing__Digital_Persona__Live__003_8_6.png__3824d78d__003_8_6.png,26.1430814406
genuine,Testing__Digital_Persona__Live__003_8_7.png__75025f75__003_8_7.png,37.7793518069
genuine,Testing__Digital_Persona__Live__003_8_8.png__5d8b3a30__003_8_8.png,64.9116225882
genuine,Testing__Digital_Persona__Live__003_8_9.png__f9b9c394__003_8_9.png,83.7995229634
genuine,Testing__Digital_Persona__Live__003_9_0.png__98c57109__003_9_0.png,198.6443518486
genuine,Testing__Digital_Persona__Live__003_9_1.png__aa9726b6__003_9_1.png,210.3027999994
genuine,Testing__Digital_Persona__Live__003_9_2.png__001da816__003_9_2.png,221.9612481503
genuine,Testing__Digital_Persona__Live__003_9_3.png__ab401525__003_9_3.png,245.2781444519
genuine,Testing__Digital_Persona__Live__003_9_4.png__4ba8c231__003_9_4.png,233.6196963011
genuine,Testing__Digital_Persona__Live__003_9_5.png__3dcb890e__003_9_5.png,186.9859036978
genuine,Testing__Digital_Persona__Live__003_9_6.png__1662d8fc__003_9_6.png,8.6603403542
genuine,Testing__Digital_Persona__Live__003_9_7.png__7f3cc38c__003_9_7.png,44.9881696066
genuine,Testing__Digital_Persona__Live__003_9_8.png__ea110835__003_9_8.png,37.2940275764
genuine,Testing__Digital_Persona__Live__003_9_9.png__dda29730__003_9_9.png,54.2440896621
genuine,Testing__Digital_Persona__Live__008_0_0.png__4d41b4da__008_0_0.png,198.6443518486
genuine,Testing__Digital_Persona__Live__008_0_1.png__146e9273__008_0_1.png,256.9365926028
genuine,Testing__Digital_Persona__Live__008_0_2.png__4e9f187f__008_0_2.png,291.9119366935
genuine,Testing__Digital_Persona__Live__008_0_3.png__9f8768ad__008_0_3.png,233.6196963011
genuine,Testing__Digital_Persona__Live__008_0_4.png__5893713e__008_0_4.png,303.5703852061
genuine,Testing__Digital_Persona__Live__008_0_5.png__bb1939ce__008_0_5.png,268.5950407536
genuine,Testing__Digital_Persona__Live__008_0_6.png__4de7d645__008_0_6.png,53.8313350535
genuine,Testing__Digital_Persona__Live__008_0_7.png__c53b7e9e__008_0_7.png,141.6391405222
genuine,Testing__Digital_Persona__Live__008_0_8.png__4f76b71b__008_0_8.png,75.5783776032
genuine,Testing__Digital_Persona__Live__008_0_9.png__042c08d5__008_0_9.png,63.2067445027
genuine,Testing__Digital_Persona__Live__008_1_0.png__f22f58e1__008_1_0.png,210.3027999994
genuine,Testing__Digital_Persona__Live__008_1_1.png__256995a2__008_1_1.png,315.2288333569
genuine,Testing__Digital_Persona__Live__008_1_2.png__e17995fc__008_1_2.png,280.2534889044
genuine,Testing__Digital_Persona__Live__008_1_3.png__5d1434af__008_1_3.png,280.2534889044
genuine,Testing__Digital_Persona__Live__008_1_4.png__bc21ba2b__008_1_4.png,338.5457296586
genuine,Testing__Digital_Persona__Live__008_1_5.png__75c1cb7d__008_1_5.png,361.8626259603
genuine,Testing__Digital_Persona__Live__008_1_6.png__b4bf5a55__008_1_6.png,96.4405167452
genuine,Testing__Digital_Persona__Live__008_1_7.png__6ebef5f0__008_1_7.png,124.6760124006
genuine,Testing__Digital_Persona__Live__008_1_8.png__c1715537__008_1_8.png,70.0624166258
genuine,Testing__Digital_Persona__Live__008_1_9.png__c7f6936e__008_1_9.png,92.8820191512
genuine,Testing__Digital_Persona__Live__008_2_0.png__a9f5a9a9__008_2_0.png,431.8133145035
genuine,Testing__Digital_Persona__Live__008_2_1.png__c8e632ed__008_2_1.png,315.2288333569
genuine,Testing__Digital_Persona__Live__008_2_2.png__a536f340__008_2_2.png,338.5457296586
genuine,Testing__Digital_Persona__Live__008_2_3.png__dd06b547__008_2_3.png,326.8872815078
genuine,Testing__Digital_Persona__Live__008_2_4.png__dc9d3475__008_2_4.png,233.6196963011
genuine,Testing__Digital_Persona__Live__008_2_5.png__9e4245c4__008_2_5.png,303.5703852061
genuine,Testing__Digital_Persona__Live__008_2_6.png__4bd6146e__008_2_6.png,75.976776817
genuine,Testing__Digital_Persona__Live__008_2_7.png__cd3846ac__008_2_7.png,100.9987052813
genuine,Testing__Digital_Persona__Live__008_2_8.png__3dbe8933__008_2_8.png,88.206373861
genuine,Testing__Digital_Persona__Live__008_2_9.png__4b2b46eb__008_2_9.png,72.7634701867
genuine,Testing__Digital_Persona__Live__008_3_0.png__73e41182__008_3_0.png,198.6443518486
genuine,Testing__Digital_Persona__Live__008_3_1.png__2eb0c71e__008_3_1.png,256.9365926028
genuine,Testing__Digital_Persona__Live__008_3_2.png__456b07f0__008_3_2.png,186.9859036978
genuine,Testing__Digital_Persona__Live__008_3_3.png__9ff2fe08__008_3_3.png,221.9612481503
genuine,Testing__Digital_Persona__Live__008_3_4.png__ef3a6c9d__008_3_4.png,175.3274559087
genuine,Testing__Digital_Persona__Live__008_3_5.png__598d2ba5__008_3_5.png,152.0105592453
genuine,Testing__Digital_Persona__Live__008_3_6.png__a9b93cd7__008_3_6.png,68.5284869024
genuine,Testing__Digital_Persona__Live__008_3_7.png__6185f070__008_3_7.png,58.6175998288
genuine,Testing__Digital_Persona__Live__008_3_8.png__aaecb37b__008_3_8.png,35.7606078307
genuine,Testing__Digital_Persona__Live__008_3_9.png__5eee79d2__008_3_9.png,55.806804482
genuine,Testing__Digital_Persona__Live__008_4_0.png__bbf4ba03__008_4_0.png,350.2041778094
genuine,Testing__Digital_Persona__Live__008_4_1.png__04ae3bb0__008_4_1.png,338.5457296586
genuine,Testing__Digital_Persona__Live__008_4_2.png__8d8bfbed__008_4_2.png,291.9119366935
genuine,Testing__Digital_Persona__Live__008_4_3.png__c9fb87dd__008_4_3.png,256.9365926028
genuine,Testing__Digital_Persona__Live__008_4_4.png__0f8d1556__008_4_4.png,350.2041778094
genuine,Testing__Digital_Persona__Live__008_4_5.png__09a9858e__008_4_5.png,315.2288333569
genuine,Testing__Digital_Persona__Live__008_4_6.png__b42e7926__008_4_6.png,49.9132239889
genuine,Testing__Digital_Persona__Live__008_4_7.png__5e5e457d__008_4_7.png,63.4816423169
genuine,Testing__Digital_Persona__Live__008_4_8.png__ea53034f__008_4_8.png,63.1328871436
genuine,Testing__Digital_Persona__Live__008_4_9.png__540b6cdf__008_4_9.png,68.0838068096
genuine,Testing__Digital_Persona__Live__008_5_0.png__079e6385__008_5_0.png,338.5457296586
genuine,Testing__Digital_Persona__Live__008_5_1.png__cabb4e47__008_5_1.png,315.2288333569
genuine,Testing__Digital_Persona__Live__008_5_2.png__ca11d18d__008_5_2.png,361.8626259603
genuine,Testing__Digital_Persona__Live__008_5_3.png__52ca9aff__008_5_3.png,455.1302108052
genuine,Testing__Digital_Persona__Live__008_5_4.png__dfca8ba2__008_5_4.png,431.8133145035
genuine,Testing__Digital_Persona__Live__008_5_5.png__597f08c7__008_5_5.png,396.837970051
genuine,Testing__Digital_Persona__Live__008_5_6.png__9e87b3f6__008_5_6.png,56.682050311
genuine,Testing__Digital_Persona__Live__008_5_7.png__a012dfbf__008_5_7.png,91.7800247015
genuine,Testing__Digital_Persona__Live__008_5_8.png__24a55a28__008_5_8.png,94.272755678
genuine,Testing__Digital_Persona__Live__008_5_9.png__1f03f306__008_5_9.png,157.9205695861
genuine,Testing__Digital_Persona__Live__008_6_0.png__3f466bbe__008_6_0.png,291.9119366935
genuine,Testing__Digital_Persona__Live__008_6_1.png__0ff1a6e3__008_6_1.png,291.9119366935
genuine,Testing__Digital_Persona__Live__008_6_2.png__42cac03e__008_6_2.png,315.2288333569
genuine,Testing__Digital_Persona__Live__008_6_3.png__e8bfa872__008_6_3.png,338.5457296586
genuine,Testing__Digital_Persona__Live__008_6_4.png__84c53a36__008_6_4.png,280.2534889044
genuine,Testing__Digital_Persona__Live__008_6_5.png__1f0c85f4__008_6_5.png,350.2041778094
genuine,Testing__Digital_Persona__Live__008_6_6.png__6ef4fcc9__008_6_6.png,46.4254070274
genuine,Testing__Digital_Persona__Live__008_6_7.png__860317a8__008_6_7.png,102.5039684266
genuine,Testing__Digital_Persona__Live__008_6_8.png__723e8309__008_6_8.png,109.0442293584
genuine,Testing__Digital_Persona__Live__008_6_9.png__db1ba082__008_6_9.png,125.0221043901
genuine,Testing__Digital_Persona__Live__008_7_0.png__950c7928__008_7_0.png,466.788658956
genuine,Testing__Digital_Persona__Live__008_7_1.png__5134bdf0__008_7_1.png,350.2041778094
genuine,Testing__Digital_Persona__Live__008_7_2.png__99d013d7__008_7_2.png,291.9119366935
genuine,Testing__Digital_Persona__Live__008_7_3.png__04b39f6b__008_7_3.png,408.4964182018
genuine,Testing__Digital_Persona__Live__008_7_4.png__7c214878__008_7_4.png,385.1795219002
genuine,Testing__Digital_Persona__Live__008_7_5.png__9bba533b__008_7_5.png,291.9119366935
genuine,Testing__Digital_Persona__Live__008_7_6.png__6951b190__008_7_6.png,7.7582406163
genuine,Testing__Digital_Persona__Live__008_7_7.png__00ba0dc0__008_7_7.png,53.5278637022
genuine,Testing__Digital_Persona__Live__008_7_8.png__d35d566f__008_7_8.png,50.3820505481
genuine,Testing__Digital_Persona__Live__008_7_9.png__85ef108d__008_7_9.png,29.9793185176
genuine,Testing__Digital_Persona__Live__008_8_0.png__e3f36aa5__008_8_0.png,373.5210741111
genuine,Testing__Digital_Persona__Live__008_8_1.png__3841b3f8__008_8_1.png,431.8133145035
genuine,Testing__Digital_Persona__Live__008_8_2.png__4e6e4031__008_8_2.png,443.4717626543
genuine,Testing__Digital_Persona__Live__008_8_3.png__f29668da__008_8_3.png,431.8133145035
genuine,Testing__Digital_Persona__Live__008_8_4.png__07e1ba06__008_8_4.png,303.5703852061
genuine,Testing__Digital_Persona__Live__008_8_5.png__c9db830a__008_8_5.png,396.837970051
genuine,Testing__Digital_Persona__Live__008_8_6.png__2a2457e2__008_8_6.png,22.9428818295
genuine,Testing__Digital_Persona__Live__008_8_7.png__5c7e4ede__008_8_7.png,55.0289017774
